gelogd_utc,key,doel_datum,bracket_label,adj_mean_now,model_prob_now,current_bid,city_bias_used,light
2026-08-08T11:43:01+00:00,KHI,2026-08-09,34°C,32.93,0.205,0.595,1.9,amber
2026-08-08T11:43:01+00:00,LON,2026-08-09,30°C,31.36,0.1166,0.825,0.47,amber
2026-08-08T11:43:01+00:00,PUS,2026-08-08,36°C,,,0.0005,,unknown
2026-08-08T11:43:01+00:00,SHA,2026-08-09,28°C,29.8,0.046,0.805,1.36,green
2026-08-08T11:43:01+00:00,SZX,2026-08-09,37°C,34.73,0.0907,0.64,-0.29,green
2026-08-08T11:43:01+00:00,CTU,2026-08-09,36°C,33.95,0.0822,0.835,1.13,green
2026-08-08T11:43:01+00:00,ANK,2026-08-09,33°C,31.33,0.119,0.87,0.21,green
2026-08-08T11:43:01+00:00,IST,2026-08-09,28°C,26.25,0.089,0.73,0.06,green
2026-08-08T11:43:01+00:00,MUC,2026-08-09,32°C,33.61,0.1441,0.93,1.28,green
2026-08-08T11:43:01+00:00,PAR,2026-08-09,34°C,32.37,0.1474,0.645,-0.06,green
2026-08-08T11:43:01+00:00,PTY,2026-08-09,34°C,32.2,0.0889,0.795,1.23,green
2026-08-08T11:43:01+00:00,HKG,2026-08-10,34°C,35.75,0.0608,0.645,1.43,green
2026-08-08T12:02:51+00:00,KHI,2026-08-09,34°C,32.93,0.205,0.595,1.9,amber
2026-08-08T12:02:51+00:00,LON,2026-08-09,30°C,31.36,0.1166,0.825,0.47,amber
2026-08-08T12:02:51+00:00,PUS,2026-08-08,36°C,32.56,0.02,0.0005,0.29,green
2026-08-08T12:02:51+00:00,CTU,2026-08-09,36°C,33.95,0.0822,0.835,1.13,green
2026-08-08T12:02:51+00:00,SHA,2026-08-09,28°C,29.8,0.046,0.8149,1.36,green
2026-08-08T12:02:51+00:00,SZX,2026-08-09,37°C,34.73,0.0907,0.625,-0.29,green
2026-08-08T12:02:51+00:00,ANK,2026-08-09,33°C,31.33,0.119,0.87,0.21,green
2026-08-08T12:02:51+00:00,IST,2026-08-09,28°C,26.25,0.089,0.725,0.06,green
2026-08-08T12:02:51+00:00,MUC,2026-08-09,32°C,33.61,0.1441,0.93,1.28,green
2026-08-08T12:02:51+00:00,PAR,2026-08-09,34°C,32.37,0.1474,0.62,-0.06,green
2026-08-08T12:02:51+00:00,PTY,2026-08-09,34°C,32.2,0.0889,0.785,1.23,green
2026-08-08T12:02:51+00:00,HKG,2026-08-10,34°C,35.75,0.0608,0.645,1.43,green
2026-08-08T12:28:14+00:00,KHI,2026-08-09,34°C,32.93,0.205,0.595,1.9,amber
2026-08-08T12:28:14+00:00,LON,2026-08-09,30°C,31.36,0.1166,0.835,0.47,amber
2026-08-08T12:28:14+00:00,CTU,2026-08-09,36°C,33.95,0.0822,0.845,1.13,green
2026-08-08T12:28:14+00:00,SHA,2026-08-09,28°C,29.8,0.046,0.81,1.36,green
2026-08-08T12:28:14+00:00,SZX,2026-08-09,37°C,34.73,0.0907,0.625,-0.29,green
2026-08-08T12:28:14+00:00,ANK,2026-08-09,33°C,31.33,0.119,0.86,0.21,green
2026-08-08T12:28:14+00:00,IST,2026-08-09,28°C,26.25,0.089,0.72,0.06,green
2026-08-08T12:28:14+00:00,MUC,2026-08-09,32°C,33.61,0.1441,0.93,1.28,green
2026-08-08T12:28:14+00:00,PAR,2026-08-09,34°C,32.37,0.1474,0.605,-0.06,green
2026-08-08T12:28:14+00:00,PTY,2026-08-09,34°C,32.2,0.0889,0.775,1.23,green
2026-08-08T12:28:14+00:00,HKG,2026-08-10,34°C,35.75,0.0608,0.645,1.43,green
2026-08-08T12:28:14+00:00,PUS,2026-08-08,36°C,32.56,0.02,0.0005,0.29,settled
2026-08-08T19:26:37+00:00,KHI,2026-08-09,34°C,32.94,0.2146,0.59,1.92,amber
2026-08-08T19:26:37+00:00,LON,2026-08-09,30°C,31.22,0.1716,0.805,0.37,amber
2026-08-08T19:26:37+00:00,HKG,2026-08-10,34°C,35.48,0.1242,0.645,1.29,amber
2026-08-08T19:26:37+00:00,CTU,2026-08-09,36°C,33.76,0.0382,0.82,1.28,green
2026-08-08T19:26:37+00:00,SHA,2026-08-09,28°C,29.61,0.0556,0.655,1.29,green
2026-08-08T19:26:37+00:00,SZX,2026-08-09,37°C,34.8,0.0589,0.675,-0.31,green
2026-08-08T19:26:37+00:00,ANK,2026-08-09,33°C,31.36,0.1261,0.885,0.18,green
2026-08-08T19:26:37+00:00,IST,2026-08-09,28°C,26.13,0.0458,0.8149,0.11,green
2026-08-08T19:26:37+00:00,MUC,2026-08-09,32°C,33.67,0.1273,0.965,1.2,green
2026-08-08T19:26:37+00:00,PAR,2026-08-09,34°C,31.82,0.1086,0.725,-0.04,green
2026-08-08T19:26:37+00:00,PTY,2026-08-09,34°C,32.19,0.0931,0.785,1.28,green
